0,Binary,Title,Url,Date,Division,Notice
11,1,(사회적경제) KNU 사회적경제 특강 시리즈(심화) 수강생 모집,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=5cabd0d1a0c421a69de563b118d5b1c7,21.10.14,취창업,공지사항
12,0,[CTL] 2021-2 KNU 장원급제 공모전 1회차 수상자 발표,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=3dab06786cdb09bfa6052165d0ce41ec,21.10.14,학습/상담,공지사항
13,0,[교외] 2022년 아산사회복지재단 북한이탈청소년 장학생 선발 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=1c1cddda7fdc1f0df2f81be79d5e2712,21.10.14,장학,공지사항
14,0,(추천채용) 비씨월드제약(상장사) 회계직 신입사원 채용,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=fff1cda82e7f276d5202e4292adffa91,21.10.14,취창업,공지사항
15,0,[교외] 2021년도 하반기 강화군 다자녀 보육가정 대학생 등록금 지원사업,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=4d9aea1c2725132a3a945c6ab27624b5,21.10.12,장학,공지사항
16,0,(주)중외정보기술 프로그램개발자 특별 추천,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=606ae265dcd5f26ccba0449ef35beba1,21.10.12,취창업,공지사항
17,1,2021-2학기 SW 학습 On-Line 튜터링 튜터 모집 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=d0e48dc4d9036e6718d38a5ec1cc1d9a,21.10.12,학습/상담,공지사항
18,0,[교외] 2021년 KT&G 서울희망 디딤돌 장학금 장학생 선발 안내(10.13. 선발공고문 수정),https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=b55a06d62068af7c9a1199f08b3041d4,21.10.12,장학,공지사항
19,1,[교육성과] 『2021학년도 대학생 핵심역량 진단(K-CESA)』 참여자 모집 공고,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=ec708ed4771cb57069b2e9a73fdea7c4,21.10.08,학습/상담,공지사항
20,0,[교외_신청] 2021-2학기 강남대학교 여교수회 장학금  [차세대 여성리더 장학금]  선발지침 및 신청안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=576baf219c66a282ece09c1ac2f9d385,21.10.08,장학,공지사항
21,0,2021년 삼성전자 협력회사 온라인 채용박람회 실시,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=434c99512ec9b2f51af947680f7127b2,21.10.08,취창업,공지사항
22,0,[교무] 2021-2학기 온라인 수업 지원을 위한 전산실습실 운영 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=b55c42d09fd9332540d3e7ddb6f84c44,21.10.08,학사,공지사항
23,1,[창의][대학혁신] 2021학년도 2학기 '진로 맞춤형 i-로드맵 설계 지원 프로그램' 시행 안내(시스템 점검 완료),https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=800295ca57f90e173b23e5fef68ded42,21.10.07,학사,공지사항
24,0,[학자금대출] 2021년 수원시 대학생 학자금 대출이자 지원계획 공고,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=98e8cb07c7caed022d8c1bb937135b9a,21.10.07,장학,공지사항
25,0,[학자금대출] 2021년 하반기 울산광역시 대학생 학자금대출 이자지원사업 안내 공고,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=f76fd7bd9619b88b4785e55efc05bee2,21.10.07,장학,공지사항
26,1,재무회계_취업스터디_모집,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=3c6048ee16effe8478c1355aa9c2573b,21.10.06,취창업,공지사항
27,1,"[마음] ""나와 너를 이해하는 시간"" 집단상담 안내 (~10/11 월까지)",https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=aef1f26afa5f3c36a432af8ad6552e99,21.10.06,학습/상담,공지사항
28,0,[CTL] 더체인지 1일 체험 이벤트,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=70f6a250f538d11066cfd68f643179a4,21.10.06,학습/상담,공지사항
29,0,[IRB] 기관생명윤리위원회 제2차 연구자를 위한 교육 신청 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=478418efc00cecf69a0ce14db361eb49,21.10.06,학사,공지사항
30,1,[CTL] 2021-2학기 KNU 장원급제 공모전 2회차 안내(~10.10),https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=46ca9a002eac09bf9fbcb521b597286e,21.10.05,학습/상담,공지사항
31,0,"[마음] 괜찮니 우체통 캠페인 (편지쓰기 이벤트, ~10/22까지)",https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=a2a276930ba251a7160f796efd3ee399,21.10.05,학습/상담,공지사항
32,0,[CTL] 'CTL 학습서포터즈 13기 톺아보기'_카드뉴스(1호),https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=d98b4586362ccff051c7c4761d8b4b0f,21.10.05,학습/상담,공지사항
33,0,[도서관] 2021전자정보박람회 개최  : 10.05(화)~10.11.(월),https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=f952504b174f96abd634a4ddc5bb259d,21.10.05,학습/상담,공지사항
34,0,[CTL]'강냉이 지원소' 아이디어 공모 이벤트(~10/11),https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=241492e2987ae3e3880a82c3d6eebf81,21.10.05,학습/상담,공지사항
35,0,[도서관] 온라인 이용자 교육 10월 2차 : DBpia X 히든그레이스가 함께하는 논문작성법 교육,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=b78efe35b56535d87a4789af512a4f43,21.10.04,학습/상담,공지사항
36,0,[도서관] 온라인 이용자 교육 10월 1차 : DBpia DB,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=b7878d6a66544f2fd9ac9108281b7a2b,21.10.04,학습/상담,공지사항
37,0,(만족도 조사) 비교과 프로그램 만족도 조사 참여 방법 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=18152afe9dc2891eebe4b15db95bce0c,21.10.01,취창업,공지사항
38,1,진로취창업센터 10월 비교과프로그램,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=2ebe578e2ff94f52cfe97f6732e12fc9,21.10.01,취창업,공지사항
39,0,[다문화멘토링_신청]2021-2학기 다문화탈북학생 멘토링 장학금 신청 안내(모집기관 붙임파일 참조),https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=d537ea6515d8b106663647ef648e23aa,21.09.30,장학,공지사항
40,0,(사회적경제) 수원시 사회적기업협희회와 함께하는 '사회적경제 심화교육과정' 참가자 모집,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=c4f625af79e9dd8866a7b7677cb8993c,21.09.30,취창업,공지사항
41,0,[CTL] '튜터링' 선발 발표,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=f595d4c3bd3ffe85fdc88126c1af9981,21.09.30,학습/상담,공지사항
42,1,"[교무] 2021-2학기 학생 ""중간강의평가"" 참여 안내(비교과마일리지 부여)",https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=371d338fa6b3669090a476c364022ed0,21.09.30,학사,공지사항
43,0,"[교무] 2021-2학기 교수자 ""중간강의평가"" 참여 안내",https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=f64330a4eb92eb6bab77dcd5de470878,21.09.30,학사,공지사항
44,0,(채용) ㈜한중엔지니어링 자동제어 프로그램 담당자 특별 추천채용,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=e38d0a315abdfd385175c9e21edb4253,21.09.29,취창업,공지사항
45,1,외국계(글로벌)기업_취업준비반(WFC)_모집,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=576f77c31605247eecddca464415887d,21.09.29,취창업,공지사항
46,1,[CTL] 2021-2학기 '리포트 작성 A to Z' 특강 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=a460c9038247067feda1879a6b5e6de5,21.09.28,학습/상담,공지사항
47,0,[교외] 2022년도 대산농촌재단 대산장학생 선발,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=f4acdf9492d4ecec5a62df85e98d4f78,21.09.28,장학,공지사항
48,0,[교무] 2021-2학기 수업 운영 계획에 따른 개강 5주차(9.01~10.05) 수업 운영 방식,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=c3b9b85431cd9ab05abf0a07d2633646,21.09.28,학사,공지사항
49,1,[CTL] 2021-2학기 '외국인 유학생을 위한 기초 글쓰기 능력 향상 특강' 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=290a0cbd6c2eb9f06a44c6d64414fd49,21.09.27,학습/상담,공지사항
50,1,[CTL] 2021-2학기 '글쓰기 상담실' 운영 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=ee6aca32cd8977989d6ecaa6840f150c,21.09.27,학습/상담,공지사항
51,1,2021-2학기 취업동아리 추가모집,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=6f8e6b6da0471d48d82bf862a45088a4,21.09.27,취창업,공지사항
52,0,[교외] 2022년도 (사)한국소아당뇨인협회 젊은 당뇨인 희망장학금,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=9f7f44bf2e62fe185e8a269c3c538265,21.09.27,장학,공지사항
53,0,[참인재/발표] 2021-2학기 교양 교육개선 채움．돋움 모니터링단 3기 활동자 발표,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=04f651729c04c6fb9c158a25903b43b6,21.09.27,학습/상담,공지사항
54,1,[CTL] 2021-2학기 KNU 장원급제 공모전 1회차 안내(~10.03),https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=ada0cd7603e641a197d9564c8e912997,21.09.27,학습/상담,공지사항
55,0,2021-2학기 취업동아리 선정결과 발표,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=75688733a9bee236e5d631234a1ec50a,21.09.27,취창업,공지사항
56,0,[교무] 2021-2학기 조기졸업 신청 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=6457b9e6bc3e5808d556e14b8ab3552f,21.09.27,학사,공지사항
57,0,"이트너스 "" 4기 채용 연계형 인턴"" 채용 특별추천(모집기간연장)",https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=2a51636009cd61a3c4287ed0b2bb141e,21.09.24,취창업,공지사항
58,1,"[마음] 2021-2학기 스마트폰 과의존 예방교육 (1,2학년 필독)",https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=9ea21fa00dc2d3871f6d6cf69e27fc84,21.09.24,학습/상담,공지사항
59,1,2021년(2학기) “지피지기 취업 취업스터디”  모집(기간연장),https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=5eab60e5b56e7e343ea596ef4715cfda,21.09.23,취창업,공지사항
60,0,[원격]교내 정전에 따른 이러닝캠퍼스 일시 접속 중단 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=c6d5e38bbe4ab08b88a73779942d6ab9,21.09.23,학사,공지사항
61,1,[CTL] 2021-2학기 KNU 장원급제 공모전 모집 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=7240cacc6ef6b687b1eb5c462719579c,21.09.23,학습/상담,공지사항
62,0,[IRB] 기관생명윤리위원회 제2021-08차 정기심의 신청 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=34253050657a2b3c82b08b09d39a3371,21.09.23,학사,공지사항
63,0,[도서관] 2021전자정보박람회 개최 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=c1d1f976d4acbd7acef4c80c2ce588c7,21.09.17,학습/상담,공지사항
64,1,[CTL] KC 그랑프리 모집 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=04ba67b6133bf15f75571036cea20aa2,21.09.17,학습/상담,공지사항
65,1,10월 강인한H 프로그램,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=b2215eed6ae63c2c35c74977a406589a,21.09.17,취창업,공지사항
66,0,[CTL] 2021-2학기 '학습공동체' 선발 결과 발표,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=cf879fbadc152a7b81adf326df17870d,21.09.16,학습/상담,공지사항
67,0,[CTL] '더체인지' 선발 발표,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=afa6bf91b1c72840866a042630570920,21.09.16,학습/상담,공지사항
68,1,2021학년도 내가 듣고 싶은 교양교과목 공모전,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=df328d2bf4a373aa821d01546a2cd7f1,21.09.16,학습/상담,공지사항
69,0,[교내] 2021-2학기 사회복지학부 60주년 장학금 신청,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=e0cf0a3764975244869357b439bb9bda,21.09.16,장학,공지사항
70,0,[교외] 정암재단-휴먼아시아 2021 글로벌비전 장학생 모집,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=b9c34e155fa03a2b72e0055d982fad4d,21.09.15,장학,공지사항
71,1,[참인재/접수] 2021-2학기 교양 교육개선 채움·돋움 모니터링단 3기 모집,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=51abb563c6eb157b03494ff9efe055e0,21.09.14,학습/상담,공지사항
72,0,[교목실] 2021-2학기 온라인 학생채플 FAQ,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=75d2622b41031420195d86f49bf953fc,21.09.14,학사,공지사항
73,0,(기간 연장) 4학년 재학생 구직 수요(취업 희망 조건) 조사 참여 안내(랜덤 추첨 기프티콘 제공),https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=813d0d8e2edf127fe21f6318cd8522ab,21.09.14,취창업,공지사항
74,0,[교무] 2021-2학기 공휴일에 대한 수업 운영 방안 및 보강 지정일 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=7009b0316136185f9cf346a65ad8bb00,21.09.13,학사,공지사항
75,1,2021년(2학기) “지피지기 취업 취업스터디”  모집,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=f73627acf033bd2ba06ba29deebe7084,21.09.13,취창업,공지사항
76,0,"(채용)이트너스 "" 4기 채용 연계형 인턴"" 채용 특별추천",https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=0a2fb969e7fa4a3bf870bc3107240594,21.09.13,취창업,공지사항
77,0,[교외] 2021-2학기 (주)웨이브파트너스대부 장학금 신청(부동산학 전공),https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=41c4ba211ab06cbc003455e07441b4f8&encMenuBoardSeq=291a4c0b4fef07ba8fcfcc21326cb65d,21.09.13,장학,공지사항
78,0,[CTL] 뉴스레터 1호 발행,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=d129d2151616bbed81f4d45a0192cce8,21.09.10,학습/상담,공지사항
